customer_id,customer_name,customer_email,customer_status,created_at
1,Customer_1,customer1@example.com,ACTIVE,2026-01-02
2,Customer_2,customer2@example.com,ACTIVE,2026-01-03
3,Customer_3,customer3@example.com,INACTIVE,2026-01-04
4,Customer_4,customer4@example.com,ACTIVE,2026-01-05
5,Customer_5,customer5@example.com,ACTIVE,2026-01-06
6,Customer_6,customer6@example.com,ACTIVE,2026-01-07
7,Customer_7,customer7@example.com,ACTIVE,2026-01-08
8,Customer_8,customer8@example.com,ACTIVE,2026-01-09
9,Customer_9,customer9@example.com,INACTIVE,2026-01-10
10,Customer_10,customer10@example.com,ACTIVE,2026-01-11
11,Customer_11,customer11@example.com,ACTIVE,2026-01-12
12,Customer_12,customer12@example.com,ACTIVE,2026-01-13
13,Customer_13,customer13@example.com,ACTIVE,2026-01-14
14,Customer_14,customer14@example.com,ACTIVE,2026-01-15
15,Customer_15,customer15@example.com,ACTIVE,2026-01-16
16,Customer_16,customer16@example.com,ACTIVE,2026-01-17
17,Customer_17,customer17@example.com,INACTIVE,2026-01-18
18,Customer_18,customer18@example.com,ACTIVE,2026-01-19
19,Customer_19,customer19@example.com,INACTIVE,2026-01-20
20,Customer_20,customer20@example.com,INACTIVE,2026-01-21
21,Customer_21,customer21@example.com,ACTIVE,2026-01-22
22,Customer_22,customer22@example.com,ACTIVE,2026-01-23
23,Customer_23,customer23@example.com,INACTIVE,2026-01-24
24,Customer_24,customer24@example.com,INACTIVE,2026-01-25
25,Customer_25,customer25@example.com,INACTIVE,2026-01-26
26,Customer_26,customer26@example.com,ACTIVE,2026-01-27
27,Customer_27,customer27@example.com,ACTIVE,2026-01-28
28,Customer_28,customer28@example.com,INACTIVE,2026-01-29
29,Customer_29,customer29@example.com,ACTIVE,2026-01-30
30,Customer_30,customer30@example.com,ACTIVE,2026-01-01
31,Customer_31,customer31@example.com,INACTIVE,2026-01-02
32,Customer_32,customer32@example.com,ACTIVE,2026-01-03
33,Customer_33,customer33@example.com,INACTIVE,2026-01-04
34,Customer_34,customer34@example.com,INACTIVE,2026-01-05
35,Customer_35,customer35@example.com,INACTIVE,2026-01-06
36,Customer_36,customer36@example.com,ACTIVE,2026-01-07
37,Customer_37,customer37@example.com,INACTIVE,2026-01-08
38,Customer_38,customer38@example.com,ACTIVE,2026-01-09
39,Customer_39,customer39@example.com,INACTIVE,2026-01-10
40,Customer_40,customer40@example.com,ACTIVE,2026-01-11
41,Customer_41,customer41@example.com,INACTIVE,2026-01-12
42,Customer_42,customer42@example.com,INACTIVE,2026-01-13
43,Customer_43,customer43@example.com,ACTIVE,2026-01-14
44,Customer_44,customer44@example.com,ACTIVE,2026-01-15
45,Customer_45,customer45@example.com,ACTIVE,2026-01-16
46,Customer_46,customer46@example.com,ACTIVE,2026-01-17
47,Customer_47,customer47@example.com,INACTIVE,2026-01-18
48,Customer_48,customer48@example.com,ACTIVE,2026-01-19
49,Customer_49,customer49@example.com,ACTIVE,2026-01-20
50,Customer_50,customer50@example.com,ACTIVE,2026-01-21
51,Customer_51,customer51@example.com,INACTIVE,2026-01-22
52,Customer_52,customer52@example.com,INACTIVE,2026-01-23
53,Customer_53,customer53@example.com,INACTIVE,2026-01-24
54,Customer_54,customer54@example.com,INACTIVE,2026-01-25
55,Customer_55,customer55@example.com,ACTIVE,2026-01-26
56,Customer_56,customer56@example.com,INACTIVE,2026-01-27
57,Customer_57,customer57@example.com,INACTIVE,2026-01-28
58,Customer_58,customer58@example.com,ACTIVE,2026-01-29
59,Customer_59,customer59@example.com,INACTIVE,2026-01-30
60,Customer_60,customer60@example.com,ACTIVE,2026-01-01
61,Customer_61,customer61@example.com,ACTIVE,2026-01-02
62,Customer_62,customer62@example.com,ACTIVE,2026-01-03
63,Customer_63,customer63@example.com,ACTIVE,2026-01-04
64,Customer_64,customer64@example.com,INACTIVE,2026-01-05
65,Customer_65,customer65@example.com,INACTIVE,2026-01-06
66,Customer_66,customer66@example.com,INACTIVE,2026-01-07
67,Customer_67,customer67@example.com,ACTIVE,2026-01-08
68,Customer_68,customer68@example.com,INACTIVE,2026-01-09
69,Customer_69,customer69@example.com,ACTIVE,2026-01-10
70,Customer_70,customer70@example.com,ACTIVE,2026-01-11
71,Customer_71,customer71@example.com,ACTIVE,2026-01-12
72,Customer_72,customer72@example.com,INACTIVE,2026-01-13
73,Customer_73,customer73@example.com,INACTIVE,2026-01-14
74,Customer_74,customer74@example.com,INACTIVE,2026-01-15
75,Customer_75,customer75@example.com,ACTIVE,2026-01-16
76,Customer_76,customer76@example.com,ACTIVE,2026-01-17
77,Customer_77,customer77@example.com,INACTIVE,2026-01-18
78,Customer_78,customer78@example.com,ACTIVE,2026-01-19
79,Customer_79,customer79@example.com,INACTIVE,2026-01-20
80,Customer_80,customer80@example.com,INACTIVE,2026-01-21
81,Customer_81,customer81@example.com,INACTIVE,2026-01-22
82,Customer_82,customer82@example.com,ACTIVE,2026-01-23
83,Customer_83,customer83@example.com,INACTIVE,2026-01-24
84,Customer_84,customer84@example.com,ACTIVE,2026-01-25
85,Customer_85,customer85@example.com,ACTIVE,2026-01-26
86,Customer_86,customer86@example.com,INACTIVE,2026-01-27
87,Customer_87,customer87@example.com,INACTIVE,2026-01-28
88,Customer_88,customer88@example.com,INACTIVE,2026-01-29
89,Customer_89,customer89@example.com,INACTIVE,2026-01-30
90,Customer_90,customer90@example.com,ACTIVE,2026-01-01
91,Customer_91,customer91@example.com,ACTIVE,2026-01-02
92,Customer_92,customer92@example.com,INACTIVE,2026-01-03
93,Customer_93,customer93@example.com,ACTIVE,2026-01-04
94,Customer_94,customer94@example.com,ACTIVE,2026-01-05
95,Customer_95,customer95@example.com,ACTIVE,2026-01-06
96,Customer_96,customer96@example.com,ACTIVE,2026-01-07
97,Customer_97,customer97@example.com,ACTIVE,2026-01-08
98,Customer_98,customer98@example.com,INACTIVE,2026-01-09
99,Customer_99,customer99@example.com,ACTIVE,2026-01-10
100,Customer_100,customer100@example.com,INACTIVE,2026-01-11
103,Customer_103,customer103@example.com,ACTIVE,2026-06-19
